"id";"es_clon";"division";"eval_instructor";"eval_capitan";"eval_comandante";"eval_general";"estatura";"peso";"imc";"velocidad";"fuerza";"resistencia";"agilidad";"armadura";"presicion";"eficiencia"
1;"N";"Cavetrooper";654,97;661,86;646,6;646,39;195,03;96,82;25,45;68,06;70,41;83,66;89,01;36,19;55,32;65,31
2;"N";"Cavetrooper";652,3;648,37;650,99;649,25;195,03;92,34;24,28;67,44;68,69;79,24;81,86;60,92;54,2;13,46
3;"S";"Cavetrooper";666,48;652,21;652,26;646,35;194,99;101,84;26,79;79,82;67,16;83,96;93,71;49,06;48,71;27,99
4;"S";"Cavetrooper";657,47;651,12;647,53;648,73;195,06;102,91;27,05;76,74;69,97;80,19;84,58;60,08;46,03;75,36
5;"S";"Cavetrooper";654,8;648,48;651,61;654,07;194,85;108,19;28,5;88,69;68,31;79,63;89,53;53,34;57,61;43,56
6;"N";"Cavetrooper";664,33;650,72;651,21;650,88;194,83;101,25;26,67;65,34;71;82,92;76,11;51,16;53,96;77,82
7;"S";"Cavetrooper";667,42;647,39;652,68;654,08;194,79;78,36;20,65;87,25;67,9;79,16;77,41;45,71;43,04;95,01
8;"N";"Cavetrooper";654,09;649,82;648,58;644,07;195,05;91,17;23,96;64,93;70,65;85,26;79,24;37,9;48,93;5,7
9;"N";"Cavetrooper";667,36;650,1;650,01;649,94;195,19;83,27;21,86;73,56;71,39;85,93;93,82;46,78;62,74;95,5
10;"N";"Cavetrooper";659,27;643,94;648,11;648,84;194,84;90,52;23,84;63,71;69,91;85,72;82,51;39,05;54,37;54,25
11;"N";"Cavetrooper";652,05;643,81;646,72;645,48;195,02;91,54;24,07;67,3;67,74;86,46;93,47;44,69;50,3;68,06
12;"S";"Cavetrooper";671,11;652,49;649,12;648,82;195,09;92,3;24,25;74,38;67,61;83,96;82,58;48,33;55,81;93,99
13;"S";"Cavetrooper";656,79;652,76;651,78;655,33;195,1;88,05;23,13;71,66;67,06;82,22;80,66;54,52;66,44;73,59
14;"N";"Cavetrooper";662,75;652,55;661,34;657,19;194,97;92,57;24,35;66,7;68,28;86,3;88,98;47,16;60,39;93,48
15;"N";"Cavetrooper";657,06;657,11;643,21;643,94;194,94;98,03;25,8;68,04;71,97;82,87;79,01;47,09;54,1;26,63
16;"N";"Cavetrooper";663,22;650,71;646,57;647,2;195,14;92,04;24,17;61,74;70,29;80,63;87,59;52,69;57,41;49,39
17;"N";"Cavetrooper";656,88;654,72;653,62;650,84;195,05;101,65;26,72;62,56;69,33;85,84;85,72;58,35;48,03;68,05
18;"N";"Cavetrooper";659,4;638,28;645,99;651,72;194,94;95,01;25;73,54;68,79;82,12;92,79;46,11;51,31;39,65
19;"S";"Cavetrooper";657,31;658,08;645,09;650,49;195,06;95,31;25,05;86,38;69,84;80,8;89,64;40,3;58,93;55,75
20;"S";"Cavetrooper";650,29;645,81;651,08;651,15;194,9;88,96;23,42;72,3;70,34;86,15;78,54;50,65;59,89;33,56
21;"S";"Cavetrooper";663,97;646,76;647,68;645,62;194,88;93,23;24,55;86,62;67,34;83,66;86,98;47,02;55,76;16,11
22;"S";"Cavetrooper";661;660,17;653,51;648,95;194,97;105,99;27,88;76,22;69,57;82,06;92,71;48,16;56,22;67,95
23;"N";"Cavetrooper";663,79;656,04;647,8;647,35;195,02;89,85;23,62;65,05;68,67;80,95;91,15;52,28;52,4;66,9
24;"S";"Cavetrooper";663,75;655,4;652,49;654,18;194,83;96,43;25,4;81,1;71,69;85,28;76,49;53,91;47,09;44,75
25;"N";"Cavetrooper";653,46;649,75;640,03;651,71;194,99;96,61;25,41;64,14;67,84;79,71;87,68;52,35;58,42;64,35
